"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","p"
0.13355,-0.0016375,0.01,291.13,160.65,-5.6091,-6.8449e-16,79872
0.13364,-0.0015336,0.01,291.18,160.55,-5.691,-7.1729e-16,79878
0.12971,-0.0059833,0.01,285.15,189.66,-6.32,8.36e-17,79977
0.13031,-0.0052987,0.01,285.48,187.61,-6.1308,8.6679e-17,79995
0.14164,0.0075038,0.01,284.63,192.16,-7.0482,2.9735e-16,79925
0.14262,0.0086128,0.01,284.6,192.5,-6.9873,4.2056e-16,79927
0.13266,-0.0026507,0.01,289.7,166.59,-5.1925,-6.9135e-17,79872
0.12234,-0.014319,0.01,284.51,193.5,-6.7833,1.2849e-16,79971
0.12292,-0.013656,0.01,284.51,193.52,-6.7815,2.3478e-17,79970
0.12857,-0.007266,0.01,284.8,191.91,-6.5385,1.2415e-16,79975
0.129,-0.0067894,0.01,284.88,191.37,-6.4861,7.5915e-17,79973
0.11552,-0.022026,0.01,284.55,193.16,-6.7609,3.0038e-16,79968
0.11611,-0.021354,0.01,284.55,193.2,-6.7619,1.3441e-16,79968
0.14076,0.0065168,0.01,284.68,191.61,-7.0976,3.0623e-16,79923
0.14161,0.0074775,0.01,284.64,192.15,-7.0499,3.0141e-16,79925
0.13086,-0.0046847,0.01,286.1,184.23,-5.9878,1.9546e-17,79996
0.13165,-0.0037889,0.01,287.6,176.51,-5.4343,3.217e-17,79976
0.13226,-0.0030995,0.01,288.86,170.4,-5.1474,1.118e-16,79927
0.1119,-0.026118,0.01,284.59,192.85,-6.7594,1.8176e-16,79966
0.11206,-0.025934,0.01,284.59,192.86,-6.7592,1.8237e-16,79966
0.13447,-0.00059966,0.01,291.17,160.6,-5.946,-8.179e-16,79928
0.13517,0.00019661,0.01,290.38,163.63,-6.5267,-7.2433e-16,79986
0.1427,0.00871,0.01,284.6,192.53,-6.9842,4.4758e-16,79927
0.11416,-0.023566,0.01,284.56,193.06,-6.7591,1.4718e-16,79966
0.11488,-0.022746,0.01,284.56,193.12,-6.7603,1.1231e-16,79967
0.12471,-0.011638,0.01,284.52,193.5,-6.7662,1.5101e-16,79969
0.12503,-0.011279,0.01,284.53,193.49,-6.762,8.6819e-17,79969
0.11862,-0.018516,0.01,284.53,193.33,-6.7718,2.1545e-16,79971
0.11906,-0.01802,0.01,284.52,193.36,-6.7736,1.6336e-16,79971
0.13975,0.0053691,0.01,284.8,190.6,-7.1477,4.238e-16,79937
0.14406,0.010246,0.01,284.58,192.84,-6.9166,5.2923e-16,79933
0.14411,0.010296,0.01,284.58,192.85,-6.9145,5.2209e-16,79934
0.12712,-0.0089141,0.01,284.61,193.1,-6.6852,6.0669e-17,79968
0.12769,-0.0082648,0.01,284.66,192.78,-6.6317,-3.1432e-17,79967
0.11415,-0.023572,0.01,284.56,193.06,-6.7591,1.5072e-16,79966
0.11262,-0.025306,0.01,284.58,192.9,-6.7581,1.9781e-16,79966
0.1131,-0.024761,0.01,284.58,192.96,-6.7573,2.9804e-16,79966
0.11356,-0.024241,0.01,284.57,193,-6.757,3.5649e-16,79966
0.11676,-0.020623,0.01,284.54,193.24,-6.764,1.5795e-16,79969
0.11739,-0.019908,0.01,284.54,193.27,-6.7662,2.0539e-16,79970
0.14517,0.011499,0.01,284.56,192.99,-6.868,2.908e-16,79937
0.11491,-0.022721,0.01,284.56,193.12,-6.7603,1.1969e-16,79967
0.13682,0.0020562,0.01,287.07,178.01,-7.2893,-3.0572e-16,79920
0.13769,0.003046,0.01,285.87,183.71,-7.2618,6.4973e-16,79941
0.13409,-0.0010283,0.01,291.16,160.62,-5.8165,-7.6516e-16,79906
0.12652,-0.0095912,0.01,284.57,193.28,-6.7177,1.454e-16,79967
0.12424,-0.01217,0.01,284.52,193.52,-6.7725,2.9528e-16,79970
0.13833,0.0037674,0.01,285.43,186.37,-7.2005,7.2328e-16,79949
0.12635,-0.0097822,0.01,284.57,193.32,-6.7241,1.3124e-16,79968
0.11915,-0.017926,0.01,284.52,193.36,-6.7739,1.3486e-16,79971
0.11971,-0.017287,0.01,284.52,193.39,-6.7765,-7.3177e-17,79971
0.13586,0.0009765,0.01,289,169.45,-7.0589,-8.5947e-16,79944
0.1367,0.001927,0.01,287.23,177.25,-7.2955,-3.7882e-16,79917
0.13878,0.0042781,0.01,285.06,188.47,-7.1959,8.1262e-16,79946
0.13965,0.005257,0.01,284.83,190.37,-7.1519,4.533e-16,79937
0.13578,0.00088601,0.01,289.18,168.59,-7.0368,-9.4175e-16,79945
0.12832,-0.0075586,0.01,284.74,192.27,-6.5759,1.7034e-16,79975
0.12065,-0.016221,0.01,284.51,193.43,-6.78,-8.9584e-18,79971
0.12121,-0.015591,0.01,284.51,193.46,-6.7818,-1.8997e-16,79971
0.12363,-0.012853,0.01,284.51,193.52,-6.7774,2.3066e-16,79970
0.12176,-0.014969,0.01,284.51,193.48,-6.7829,-1.2062e-16,79971
0.12354,-0.012959,0.01,284.51,193.52,-6.7781,2.1523e-16,79970
0.11762,-0.019649,0.01,284.53,193.28,-6.7674,1.4757e-16,79970
0.11791,-0.01932,0.01,284.53,193.3,-6.7687,8.889e-17,79970
0.11667,-0.020724,0.01,284.54,193.23,-6.7637,1.6717e-16,79969
0.12566,-0.010559,0.01,284.54,193.43,-6.7475,6.9722e-17,79968
0.11498,-0.022636,0.01,284.56,193.13,-6.7604,1.432e-16,79967
0.12578,-0.01042,0.01,284.55,193.42,-6.7447,7.2504e-17,79968
0.12018,-0.016758,0.01,284.52,193.41,-6.7784,-1.3036e-17,79971
0.11811,-0.019102,0.01,284.53,193.31,-6.7695,1.0169e-16,79970
0.14542,0.011782,0.01,284.56,193.01,-6.8614,2.5609e-16,79938
0.14587,0.012295,0.01,284.56,193.03,-6.8481,1.4063e-16,79940
